OPENDATA_IDENTIFICADOR,PROMOTOR,TIPUS_ACCES,VELOCITAT_CARREGA1,TIPUS_CONNEXIO1,VELOCITAT_CARREGA2,TIPUS_CONNEXIO2,VELOCITAT_CARREGA3,TIPUS_CONNEXIO3,Latitude,Longitude,DESIGNACIO_DESCRIPTIVA,ADREÇA,MUNICIPI,CODI_INE,PROVINCIA,CODI_PROV,NUM_PLACES_CARREGA,TIPUS_VEHICLE1,TIPUS_VEHICLE2,TELEFON,CODI_ASIA,CODI_BCN
08-0193-25-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.426834,2.184219,B:SM 8 - Concepció Arenal,Carrer de Concepción Arenal, 156,Barcelona,0193,Barcelona,08,4,cotxe,,93.340.60.95,99400147898,BSM009
08-0193-25-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.426834,2.184219,B:SM 8 - Concepció Arenal,Carrer de Concepción Arenal, 156,Barcelona,0193,Barcelona,08,4,cotxe,,93.340.60.95,99400147898,BSM009
08-0193-25-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.426834,2.184219,B:SM 8 - Concepció Arenal,Carrer de Concepción Arenal, 156,Barcelona,0193,Barcelona,08,4,moto,,93.340.60.95,99400147898,BSM009
08-0193-26-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.380864,2.183077,B:SM 23 - Moll de la Fusta,Carrer de l'Ictineu,Barcelona,0193,Barcelona,08,5,cotxe,,93.221.50.15,92086026151,BSM010
08-0193-26-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.380864,2.183077,B:SM 23 - Moll de la Fusta,Carrer de l'Ictineu,Barcelona,0193,Barcelona,08,5,cotxe,,93.221.50.15,92086026151,BSM010
08-0193-26-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.380864,2.183077,B:SM 23 - Moll de la Fusta,Carrer de l'Ictineu,Barcelona,0193,Barcelona,08,5,cotxe,,93.221.50.15,92086026151,BSM010
08-0193-26-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.380864,2.183077,B:SM 23 - Moll de la Fusta,Carrer de l'Ictineu,Barcelona,0193,Barcelona,08,5,cotxe,,93.221.50.15,92086026151,BSM010
08-0193-26-5,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.380864,2.183077,B:SM 23 - Moll de la Fusta,Carrer de l'Ictineu,Barcelona,0193,Barcelona,08,5,moto,,93.221.50.15,92086026151,BSM010
08-0193-27-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.40247,2.204062,B:SM 4 - Bilbao-Llull,Carrer de Bilbao, 24,Barcelona,0193,Barcelona,08,4,cotxe,,93.309.77.55,99400236540,BSM011
08-0193-27-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.40247,2.204062,B:SM 4 - Bilbao-Llull,Carrer de Bilbao, 24,Barcelona,0193,Barcelona,08,4,cotxe,,93.309.77.55,99400236540,BSM011
